brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
64,normal,Brush.copy.geometry,1.000,0.009784,0.009784,0.571
64,normal,Brush::moveBoundary,1.000,0.032791,0.032791,1.914
64,normal,BrushRenderer::validate,1.000,0.009616,0.003561,0.208
64,normal,BrushRenderer::validateBrush,1.000,0.006055,0.006055,0.353
64,normal,CommandProcessor::executeAndStore,1.000,0.158619,0.034154,1.993
64,normal,CommandProcessor::rollbackTransaction,1.000,0.392992,0.006106,0.356
64,normal,CommandProcessor::undoCommand,1.000,0.240901,0.085162,4.970
64,normal,EntityPropertyGrid::updateControls,2.000,0.006244,0.006244,0.364
64,normal,ExtrudeTool::extrude,1.000,0.727594,0.002609,0.152
64,normal,FaceAttribsEditor::updateControls,1.000,0.166392,0.166392,9.711
64,normal,Map::nodesDidChange,2.000,0.008279,0.008279,0.483
64,normal,Map::nodesWillChange,2.000,0.002268,0.002268,0.132
64,normal,Map::rollbackTransaction,1.000,0.398237,0.005245,0.306
64,normal,MapDocument::transactionDone,1.000,0.107747,0.069914,4.080
64,normal,MapDocument::transactionUndone,1.000,0.145986,0.102742,5.996
64,normal,MapRenderer::nodesDidChange,2.000,0.005775,0.005775,0.337
64,normal,MapViewBase::renderContents,1.000,0.445502,0.435886,25.440
64,normal,MapViewBase::updateActionStates,8.000,0.016121,0.016121,0.941
64,normal,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000574,0.000574,0.034
64,normal,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.248298,0.248298,14.492
64,normal,Qt.MetaCall,4.000,0.164863,0.164863,9.622
64,normal,Qt.Paint,1.000,0.475292,0.022621,1.320
64,normal,Qt.Timer,1.233,0.244647,0.040942,2.390
64,normal,Qt.UpdateRequest,1.000,0.488026,0.012734,0.743
64,normal,RenderView::paintGL,1.000,0.452671,0.000662,0.039
64,normal,RenderView::render,1.000,0.452009,0.006507,0.380
64,normal,ToolBoxConnector::updatePickResult,8.000,0.058711,0.058711,3.427
64,normal,doSwapNodeContents,2.000,0.280204,0.015009,0.876
64,normal,drag,1.000,0.752247,0.003213,0.188
64,normal,events_and_render,1.000,0.959676,0.099452,5.804
64,normal,extrudeBrushes,1.000,0.326748,0.004922,0.287
64,normal,frame,1.000,1.713388,0.001465,0.086
64,normal,input.pick,1.000,0.021441,0.021441,1.251
64,normal,updateNodeContents,1.000,0.278797,0.012431,0.726
64,outward,Brush.copy,1.000,0.015827,0.001811,0.007
64,outward,Brush.copy.faces,1.000,0.000714,0.000714,0.003
64,outward,Brush.copy.geometry,1.000,0.013302,0.013302,0.055
64,outward,Brush::clip,1.000,0.023231,0.023231,0.096
64,outward,Brush::moveBoundary,1.000,0.037294,0.037294,0.154
64,outward,BrushRenderer::addBrush,5.000,0.030177,0.004680,0.019
64,outward,BrushRenderer::invalidate,6.000,0.033788,0.033788,0.139
64,outward,BrushRenderer::removeBrush,5.000,0.013123,0.004832,0.020
64,outward,BrushRenderer::validate,2.000,0.150962,0.021095,0.087
64,outward,BrushRenderer::validateBrush,65.000,0.129867,0.129867,0.535
64,outward,CommandProcessor::executeAndStore,5.000,3.311512,0.123605,0.509
64,outward,CommandProcessor::rollbackTransaction,1.000,4.145172,0.015040,0.062
64,outward,CommandProcessor::undoCommand,3.000,3.933944,0.371649,1.532
64,outward,EntityPropertyGrid::updateControls,6.000,0.026149,0.026149,0.108
64,outward,ExtrudeTool::extrude,1.000,7.721054,0.000888,0.004
64,outward,FaceAttribsEditor::updateControls,1.000,0.209238,0.209238,0.862
64,outward,Map::nodesWereAdded,1.000,0.008288,0.008288,0.034
64,outward,Map::nodesWereRemoved,1.000,0.003589,0.003589,0.015
64,outward,Map::nodesWillBeRemoved,1.000,0.003041,0.003041,0.013
64,outward,Map::rollbackTransaction,1.000,4.154976,0.009804,0.040
64,outward,Map::selectionDidChange,4.000,0.009257,0.009257,0.038
64,outward,Map::selectionWillChange,4.000,0.000921,0.000921,0.004
64,outward,MapDocument::transactionDone,1.000,0.132497,0.085738,0.353
64,outward,MapDocument::transactionUndone,1.000,0.196188,0.145293,0.599
64,outward,MapRenderer::nodesWereAdded,1.000,0.004922,0.001917,0.008
64,outward,MapRenderer::nodesWereRemoved,1.000,0.005628,0.001611,0.007
64,outward,MapRenderer::selectionDidChange,4.000,0.048934,0.012656,0.052
64,outward,MapViewBase::renderContents,1.000,0.742410,0.591448,2.438
64,outward,MapViewBase::selectionDidChange,16.000,0.196794,0.037581,0.155
64,outward,MapViewBase::updateActionStates,24.000,0.050643,0.050643,0.209
